,COUNTY,STATE,COUNTYFIPS
2267,TIPPECANOE,IN,18157
2269,TIPTON,TN,47167
2275,TOM GREEN,TX,48451
2277,TOOELE,UT,49045
2285,TRAVIS,TX,48453
2291,TROUP,GA,13285
2293,TRUMBULL,OH,39155
2295,TULSA,OK,40143
2299,TUSCARAWAS,OH,39157
2300,TUSCOLA,MI,26157
2307,UMATILLA,OR,41059
2310,UNION,FL,12125
2317,UNION,NC,37179
2318,UNION,NJ,34039
2320,UNION,OH,39159
2322,UNION,PA,42119
2328,UTAH,UT,49049
2331,VAL VERDE,TX,48465
2338,VAN BUREN,MI,26159
2340,VAN ZANDT,TX,48467
2341,VANCE,NC,37181
2343,VEGA BAJA,PR,72145
2344,VENANGO,PA,42121
2346,VERMILION,IL,17183
2347,VERMILION,LA,22113
2354,VIGO,IN,18167
2356,VIRGINIA BEACH,VA,51810
2357,VOLUSIA,FL,12127
2359,WABASH,IN,18169
2363,WAKE,NC,37183
2364,WALDO,ME,23027
2371,WALTON,FL,12131
2372,WALTON,GA,13297
2374,WALWORTH,WI,55127
2375,WAPELLO,IA,19179
2377,WARD,TX,48475
2378,WARE,GA,13299
2381,WARREN,KY,21227
2382,WARREN,MS,28149
2383,WARREN,NJ,34041
2385,WARREN,OH,39165
2386,WARREN,PA,42123
2389,WARRICK,IN,18173
2394,WASHBURN,WI,55129
2397,WASHINGTON,GA,13303
2402,WASHINGTON,MD,24043
2403,WASHINGTON,ME,23029
2404,WASHINGTON,MN,27163
2405,WASHINGTON,MO,29221
2406,WASHINGTON,MS,28151
2407,WASHINGTON,NE,31177
2411,WASHINGTON,PA,42125
2412,WASHINGTON,RI,44009
2413,WASHINGTON,TN,47179
2417,WASHINGTON,VT,50023
2418,WASHINGTON,WI,55131
2420,WASHOE,NV,32031
2421,WASHTENAW,MI,26161
2422,WATAUGA,NC,37189
2424,WAUKESHA,WI,55133
2428,WAYNE,IL,17191
2429,WAYNE,IN,18177
2430,WAYNE,MI,26163
2433,WAYNE,OH,39169
2434,WAYNE,PA,42127
2438,WEBB,TX,48479
2439,WEBER,UT,49057
2442,WEBSTER,MS,28155
2446,WELLS,IN,18179
2451,WESTMORELAND,PA,42129
2453,WETZEL,WV,54103
2456,WHATCOM,WA,53073
2462,WHITE,TN,47185
2465,WHITFIELD,GA,13313
