	AreaName	Total area in square miles 1990	Total area in square miles 2000	Land area in square miles 1980	Land area in square miles 1990	Land area in square miles 2000	Land area in square miles 2010	Water area in square miles 1990	Water area in square miles 2000	county	state
1717	Gage, NE	859.99	859.94	858.03	855.33	855.29	851.49	4.66	4.65	Gage	 NE
1718	Garden, NE	1731.15	1731.0	1680.3	1704.55	1704.4	1704.28	26.6	26.6	Garden	 NE
1719	Garfield, NE	571.36	571.34	570.41	570.05	570.03	569.79	1.31	1.31	Garfield	 NE
1720	Gosper, NE	462.77	462.74	460.76	458.2	458.18	458.16	4.57	4.57	Gosper	 NE
1721	Grant, NE	783.27	783.23	774.84	776.27	776.22	776.22	7.0	7.0	Grant	 NE
1722	Greeley, NE	570.74	570.71	570.41	569.87	569.85	569.81	0.87	0.85	Greeley	 NE
1723	Hall, NE	552.25	552.22	536.77	546.43	546.4	546.29	5.82	5.83	Hall	 NE
1724	Hamilton, NE	546.76	546.77	542.6	543.68	543.68	542.88	3.08	3.09	Hamilton	 NE
1725	Harlan, NE	574.2	574.18	555.12	552.77	552.78	553.47	21.43	21.4	Harlan	 NE
1726	Hayes, NE	713.37	713.33	713.31	713.15	713.11	713.06	0.22	0.22	Hayes	 NE
1727	Hitchcock, NE	718.62	718.57	708.91	710.08	710.03	709.94	8.54	8.54	Hitchcock	 NE
1728	Holt, NE	2417.8	2417.65	2405.83	2412.82	2412.66	2412.4	4.98	4.99	Holt	 NE
1729	Hooker, NE	721.54	721.51	720.62	721.2	721.17	721.12	0.34	0.34	Hooker	 NE
1730	Howard, NE	575.77	575.74	564.18	569.5	569.47	569.34	6.27	6.27	Howard	 NE
1731	Jefferson, NE	575.53	575.5	574.52	573.05	573.01	570.19	2.48	2.48	Jefferson	 NE
1732	Johnson, NE	376.84	376.82	376.56	376.18	376.13	376.05	0.66	0.69	Johnson	 NE
1733	Kearney, NE	516.15	516.13	518.61	516.05	516.03	516.24	0.1	0.11	Kearney	 NE
1734	Keith, NE	1109.85	1109.77	1039.12	1061.34	1061.26	1061.6	48.51	48.51	Keith	 NE
1735	Keya Paha, NE	774.21	774.17	768.59	773.33	773.29	773.07	0.88	0.89	Keya Paha	 NE
1736	Kimball, NE	952.38	952.31	951.96	951.8	951.72	951.85	0.58	0.58	Kimball	 NE
